,subject,rt,trial_type,trial_index,time_elapsed,condition,assignment,responses,stimType,stimNum,categorization,numeric_categorization,order,Understood,group,trial_condition,exp.inf.1,spon.1,rc.1,exp.inf.2,spon.2,rc.2,spon.true,exp.inf.mean,rc.mean,spon.mean,Congruent,Congruence,numeric_categorization2,exp_group
1,383,4165,survey-multi-choice,3,86433,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,2,Yes,1,1,0,group1,speaker_aware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,0,Knowledge
2,383,10326,survey-multi-choice,5,126526,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,1,No,0,2,0,group1,speaker_unaware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,1,Knowledge
3,383,11827,survey-multi-choice,7,142215,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,8,Yes,1,3,0,group1,speaker_aware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,0,Knowledge
4,383,12692,survey-multi-choice,9,200663,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,4,No,0,4,0,group1,speaker_unaware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,1,Knowledge
5,383,5304,survey-multi-choice,11,221929,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,6,No,0,5,0,group1,speaker_unaware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,1,Knowledge
6,383,2715,survey-multi-choice,13,264556,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,3,No,0,6,0,group1,speaker_unaware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,1,Knowledge
7,383,2618,survey-multi-choice,15,305650,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,5,Yes,1,7,0,group1,speaker_aware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,0,Knowledge
8,383,8123,survey-multi-choice,17,337875,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,7,Yes,1,8,0,group1,speaker_aware,6,0,10,9,1,10,0,7.5,10,0.5,TRUE,congruent,0,Knowledge
9,674,2468,survey-multi-choice,3,42588,Speaker Aware,4a,"{""Q0"":""No""}",belief,7,No,0,1,0,group1,speaker_aware,3,1,10,4,1,9,1,3.5,9.5,1,TRUE,congruent,0,Inference
10,674,1978,survey-multi-choice,5,64660,Speaker Aware,4a,"{""Q0"":""No""}",belief,8,No,0,2,0,group1,speaker_aware,3,1,10,4,1,9,1,3.5,9.5,1,TRUE,congruent,0,Inference
11,674,1115,survey-multi-choice,7,89988,Speaker Aware,4a,"{""Q0"":""No""}",belief,2,No,0,3,0,group1,speaker_aware,3,1,10,4,1,9,1,3.5,9.5,1,TRUE,congruent,0,Inference
12,674,1317,survey-multi-choice,9,97008,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,3,Yes,1,4,0,group1,speaker_unaware,3,1,10,4,1,9,1,3.5,9.5,1,TRUE,congruent,1,Inference
13,674,1060,survey-multi-choice,11,101718,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,6,Yes,1,5,0,group1,speaker_unaware,3,1,10,4,1,9,1,3.5,9.5,1,TRUE,congruent,1,Inference
14,674,1840,survey-multi-choice,13,108341,Speaker Aware,4a,"{""Q0"":""No""}",belief,5,No,0,6,0,group1,speaker_aware,3,1,10,4,1,9,1,3.5,9.5,1,TRUE,congruent,0,Inference
15,674,1990,survey-multi-choice,15,115406,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,4,No,0,7,0,group1,speaker_unaware,3,1,10,4,1,9,1,3.5,9.5,1,FALSE,incongruent,0,Inference
16,674,1624,survey-multi-choice,17,123402,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,1,No,0,8,0,group1,speaker_unaware,3,1,10,4,1,9,1,3.5,9.5,1,FALSE,incongruent,0,Inference
17,1918,2804,survey-multi-choice,3,29205,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,4,Yes,1,1,0,group2,speaker_aware,3,0,10,5,1,9,0,4,9.5,0.5,TRUE,congruent,0,Knowledge
18,1918,2709,survey-multi-choice,5,46743,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,2,No,0,2,0,group2,speaker_unaware,3,0,10,5,1,9,0,4,9.5,0.5,TRUE,congruent,1,Knowledge
19,1918,2560,survey-multi-choice,7,56692,Speaker Aware,4b,"{""Q0"":""No""}",belief,6,No,0,3,0,group2,speaker_aware,3,0,10,5,1,9,0,4,9.5,0.5,FALSE,incongruent,1,Knowledge
20,1918,4113,survey-multi-choice,9,82977,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,3,Yes,1,4,0,group2,speaker_aware,3,0,10,5,1,9,0,4,9.5,0.5,TRUE,congruent,0,Knowledge
21,1918,2786,survey-multi-choice,11,103253,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,1,Yes,1,5,0,group2,speaker_aware,3,0,10,5,1,9,0,4,9.5,0.5,TRUE,congruent,0,Knowledge
22,1918,2541,survey-multi-choice,13,149905,Speaker Unaware,4b,"{""Q0"":""Yes""}",no_belief,5,Yes,1,6,0,group2,speaker_unaware,3,0,10,5,1,9,0,4,9.5,0.5,FALSE,incongruent,0,Knowledge
23,1918,1830,survey-multi-choice,15,200889,Speaker Unaware,4b,"{""Q0"":""Yes""}",no_belief,8,Yes,1,7,0,group2,speaker_unaware,3,0,10,5,1,9,0,4,9.5,0.5,FALSE,incongruent,0,Knowledge
24,1918,2217,survey-multi-choice,17,218409,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,7,No,0,8,0,group2,speaker_unaware,3,0,10,5,1,9,0,4,9.5,0.5,TRUE,congruent,1,Knowledge
25,2006,5471,survey-multi-choice,3,180906,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,2,Yes,1,1,0,group1,speaker_aware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,0,Knowledge
26,2006,10511,survey-multi-choice,5,222795,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,8,Yes,1,2,0,group1,speaker_aware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,0,Knowledge
27,2006,7141,survey-multi-choice,7,253166,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,1,No,0,3,0,group1,speaker_unaware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,1,Knowledge
28,2006,4094,survey-multi-choice,9,278202,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,7,Yes,1,4,0,group1,speaker_aware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,0,Knowledge
29,2006,3203,survey-multi-choice,11,304966,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,4,No,0,5,0,group1,speaker_unaware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,1,Knowledge
30,2006,10338,survey-multi-choice,13,359576,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,5,Yes,1,6,0,group1,speaker_aware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,0,Knowledge
31,2006,2269,survey-multi-choice,15,400063,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,6,No,0,7,0,group1,speaker_unaware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,1,Knowledge
32,2006,3870,survey-multi-choice,17,491282,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,3,No,0,8,0,group1,speaker_unaware,7,0,10,9,1,8,0,8,9,0.5,TRUE,congruent,1,Knowledge
