,subject,rt,trial_type,trial_index,time_elapsed,group,assignment,responses,knowledge,stimType,stimNum,answer,numeric_code,order,Condition,exp_inf_1,exp_inf_2,spon_1,spon_2,spon_3,rc_1,rc_2,exp_inf_mean,rc_mean,spon_agree,spon_true,rc_bins_1
1,635,2388,survey-multi-choice,7,138081,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,9,Yes,1,3,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
2,635,5320,survey-multi-choice,3,56648,group2,5a,"{""Q0"":""No""}",explicit,Speaker Aware,1,No,0,1,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
3,635,3948,survey-multi-choice,5,112109,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,5,Yes,1,2,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
4,635,1680,survey-multi-choice,15,297554,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,15,Yes,1,7,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
5,635,1264,survey-multi-choice,17,331516,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,10,Yes,1,8,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
6,635,3348,survey-multi-choice,19,336940,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,16,Yes,1,9,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
7,635,1254,survey-multi-choice,21,411548,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,8,Yes,1,10,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
8,635,1640,survey-multi-choice,23,434574,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,11,Yes,1,11,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
9,635,7171,survey-multi-choice,25,443886,group2,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,2,No,0,12,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
10,635,1294,survey-multi-choice,27,512882,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,12,Yes,1,13,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
